t,x,y,z
1.280000000000000061e-02,1.032276657218639704e+00,2.282519137856053315e-01,1.280000000000004690e+01
1.285000000000000031e-02,1.046140242345692251e+00,2.762914912964970493e-01,1.285000000000004761e+01
1.290000000000000001e-02,1.062386987391931159e+00,3.235783105530564696e-01,1.290000000000004832e+01
1.295000000000000144e-02,1.080976300864423756e+00,3.699942283466475801e-01,1.295000000000004903e+01
1.300000000000000114e-02,1.101861738507148969e+00,4.154232773623582897e-01,1.300000000000004974e+01
1.305000000000000084e-02,1.124991119339112888e+00,4.597519559162017710e-01,1.305000000000005045e+01
1.310000000000000053e-02,1.150306656025320118e+00,5.028695115320909181e-01,1.310000000000005116e+01
1.315000000000000023e-02,1.177745099254874583e+00,5.446682176500861061e-01,1.315000000000005187e+01
1.319999999999999993e-02,1.207237895765491231e+00,5.850436427745769885e-01,1.320000000000005258e+01
1.325000000000000136e-02,1.238711359619604435e+00,6.238949113899495691e-01,1.325000000000005329e+01
1.330000000000000106e-02,1.272086856304149638e+00,6.611249559918557228e-01,1.330000000000005400e+01
1.335000000000000075e-02,1.307280999194056159e+00,6.966407596044006389e-01,1.335000000000005471e+01
1.340000000000000045e-02,1.344205857888599587e+00,7.303535881773343119e-01,1.340000000000005542e+01
1.345000000000000015e-02,1.382769177900098345e+00,7.621792122826168692e-01,1.345000000000005613e+01
1.349999999999999985e-02,1.422874611146075274e+00,7.920381175564625842e-01,1.350000000000005684e+01
1.355000000000000128e-02,1.464421956669013980e+00,8.198557033610853750e-01,1.355000000000005755e+01
1.360000000000000098e-02,1.507307410982286155e+00,8.455624691698029327e-01,1.360000000000005826e+01
1.365000000000000067e-02,1.551423827416776868e+00,8.690941882098264237e-01,1.365000000000005898e+01
1.370000000000000037e-02,1.596660983820245017e+00,8.903920679289009099e-01,1.370000000000005969e+01
1.375000000000000007e-02,1.642905857940589520e+00,9.094028968848800742e-01,1.375000000000006040e+01
1.380000000000000150e-02,1.690042909804992499e+00,9.260791776912404849e-01,1.380000000000006111e+01
1.385000000000000120e-02,1.737954370389432901e+00,9.403792456863798721e-01,1.385000000000006182e+01
1.390000000000000090e-02,1.786520535857347713e+00,9.522673730302103623e-01,1.390000000000006253e+01
1.395000000000000059e-02,1.835620066632302150e+00,9.617138579679691546e-01,1.395000000000006324e+01
1.400000000000000029e-02,1.885130290557456956e+00,9.686950990382251492e-01,1.400000000000006395e+01
1.404999999999999999e-02,1.934927509384404498e+00,9.731936540396786128e-01,1.405000000000006466e+01
1.410000000000000142e-02,1.984887307825632163e+00,9.751982836094277296e-01,1.410000000000006537e+01
1.415000000000000112e-02,2.034884864398463389e+00,9.747039793038253519e-01,1.415000000000006608e+01
1.420000000000000082e-02,2.084795263283853117e+00,9.717119761117674059e-01,1.420000000000006679e+01
1.425000000000000051e-02,2.134493806420875828e+00,9.662297493691491823e-01,1.425000000000006750e+01
1.430000000000000021e-02,2.183856325057159431e+00,9.582709960821982342e-01,1.430000000000006821e+01
1.434999999999999991e-02,2.232759489976873013e+00,9.478556007063474453e-01,1.435000000000006892e+01
